source_file,experiment_id,sample_index,cumulative_depth_cm,depth_cm,true_damage_level,true_damage_class,true_stress_mpa,true_stress_class,true_state_class,true_state_label,segment_index
VTEST_S30_1.csv,VTEST_S30,99,1.65,1.65,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,100,1.66667,1.66667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,101,1.68333,1.68333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,102,1.7,1.7,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,103,1.71667,1.71667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,104,1.73333,1.73333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,105,1.75,1.75,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,106,1.76667,1.76667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,107,1.78333,1.78333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,108,1.8,1.8,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,109,1.81667,1.81667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,110,1.83333,1.83333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,111,1.85,1.85,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,112,1.86667,1.86667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,113,1.88333,1.88333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,114,1.9,1.9,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,115,1.91667,1.91667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,116,1.93333,1.93333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,117,1.95,1.95,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,118,1.96667,1.96667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,119,1.98333,1.98333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,120,2.0,2.0,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,121,2.01667,2.01667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,122,2.03333,2.03333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,123,2.05,2.05,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,124,2.06667,2.06667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,125,2.08333,2.08333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,126,2.1,2.1,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,127,2.11667,2.11667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,128,2.13333,2.13333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,129,2.15,2.15,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,130,2.16667,2.16667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,131,2.18333,2.18333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,132,2.2,2.2,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,133,2.21667,2.21667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,134,2.23333,2.23333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,135,2.25,2.25,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,136,2.26667,2.26667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,137,2.28333,2.28333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,138,2.3,2.3,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,139,2.31667,2.31667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,140,2.33333,2.33333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,141,2.35,2.35,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,142,2.36667,2.36667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,143,2.38333,2.38333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,144,2.4,2.4,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,145,2.41667,2.41667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,146,2.43333,2.43333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,147,2.45,2.45,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,148,2.46667,2.46667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,149,2.48333,2.48333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,150,2.5,2.5,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,151,2.51667,2.51667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,152,2.53333,2.53333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,153,2.55,2.55,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,154,2.56667,2.56667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,155,2.58333,2.58333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,156,2.6,2.6,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,157,2.61667,2.61667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,158,2.63333,2.63333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,159,2.65,2.65,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,160,2.66667,2.66667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,161,2.68333,2.68333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,162,2.7,2.7,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,163,2.71667,2.71667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,164,2.73333,2.73333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,165,2.75,2.75,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,166,2.76667,2.76667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,167,2.78333,2.78333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,168,2.8,2.8,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,169,2.81667,2.81667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,170,2.83333,2.83333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,171,2.85,2.85,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,172,2.86667,2.86667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,173,2.88333,2.88333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,174,2.9,2.9,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,175,2.91667,2.91667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,176,2.93333,2.93333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,177,2.95,2.95,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,178,2.96667,2.96667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,179,2.98333,2.98333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,180,3.0,3.0,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,181,3.01667,3.01667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,182,3.03333,3.03333,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,183,3.05,3.05,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,184,3.06667,3.06667,80,4,30,3,23,D80_S30,0
VTEST_S30_1.csv,VTEST_S30,185,3.08333,3.08333,80,4,30,3,23,D80_S30,0
